Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
0.707878, 0.068924, 0.906573,                     0.024503, 0.126956, 0.622761, 0.250283
0.703805, 0.072606, 0.903529,                     0.023865, 0.116157, 0.633805, 0.250037
0.699779, 0.076317, 0.900609,                     0.023074, 0.105471, 0.644746, 0.249783
0.695798, 0.079994, 0.897550,                     0.022456, 0.094483, 0.655440, 0.250077
0.691863, 0.083724, 0.894700,                     0.021577, 0.083680, 0.665673, 0.250647
0.687971, 0.087471, 0.892018,                     0.020511, 0.073280, 0.675492, 0.251227
0.684124, 0.091159, 0.889215,                     0.019626, 0.062949, 0.684772, 0.252279
0.680319, 0.094876, 0.886608,                     0.018516, 0.053056, 0.693282, 0.253662
0.676556, 0.098600, 0.884206,                     0.017194, 0.043880, 0.701045, 0.255075
0.672834, 0.102241, 0.881701,                     0.016058, 0.035178, 0.707982, 0.256840
0.669153, 0.105886, 0.879379,                     0.014735, 0.027206, 0.713864, 0.258930
0.665513, 0.109527, 0.877291,                     0.013182, 0.020230, 0.718720, 0.261049
0.661911, 0.113064, 0.875123,                     0.011813, 0.014100, 0.722523, 0.263376
0.658349, 0.116577, 0.873119,                     0.010303, 0.008966, 0.725082, 0.265953
0.654824, 0.120077, 0.871376,                     0.008547, 0.005011, 0.726447, 0.268543
0.651337, 0.123454, 0.869573,                     0.006973, 0.002158, 0.726662, 0.271180
0.647887, 0.126780, 0.867916,                     0.005303, 0.000472, 0.725593, 0.273935
0.644474, 0.130083, 0.866541,                     0.003376, 0.000007, 0.723318, 0.276675
0.641096, 0.133246, 0.865126,                     0.001629, 0.000727, 0.719958, 0.279315
0.637753, 0.136330, 0.863840,                     -0.000171, 0.002655, 0.715436, 0.281909
0.634445, 0.139380, 0.862849,                     -0.002229, 0.005691, 0.709852, 0.284458
0.631172, 0.142275, 0.861840,                     -0.004115, 0.009813, 0.703382, 0.286805
0.627931, 0.145066, 0.860943,                     -0.006009, 0.015056, 0.696006, 0.288938
0.624724, 0.147810, 0.860347,                     -0.008156, 0.021177, 0.687823, 0.291000
0.621550, 0.150388, 0.859757,                     -0.010145, 0.028144, 0.679041, 0.292816
0.618407, 0.152835, 0.859257,                     -0.012092, 0.036052, 0.669670, 0.294278
0.615297, 0.155222, 0.859066,                     -0.014287, 0.044555, 0.659795, 0.295650
0.612217, 0.157434, 0.858900,                     -0.016334, 0.053586, 0.649623, 0.296791
0.609168, 0.159490, 0.858806,                     -0.018296, 0.063340, 0.639181, 0.297479
0.606149, 0.161473, 0.859020,                     -0.020493, 0.073416, 0.628520, 0.298064
0.603160, 0.163274, 0.859278,                     -0.022552, 0.083687, 0.617832, 0.298481
0.600201, 0.164895, 0.859592,                     -0.024487, 0.094468, 0.607147, 0.298385
0.597270, 0.166430, 0.860209,                     -0.026639, 0.105348, 0.596478, 0.298174
0.594368, 0.167777, 0.860893,                     -0.028670, 0.116123, 0.585990, 0.297886
0.591494, 0.168923, 0.861608,                     -0.030531, 0.127223, 0.575708, 0.297069
0.588647, 0.169970, 0.862620,                     -0.032590, 0.138269, 0.565614, 0.296117
0.585828, 0.170826, 0.863715,                     -0.034541, 0.148965, 0.555845, 0.295190
0.583035, 0.171463, 0.864825,                     -0.036288, 0.159832, 0.546419, 0.293750
0.580270, 0.171986, 0.866217,                     -0.038203, 0.170563, 0.537295, 0.292142
0.577530, 0.172317, 0.867711,                     -0.040028, 0.180755, 0.528578, 0.290666
0.574816, 0.172416, 0.869202,                     -0.041618, 0.190997, 0.520291, 0.288712
0.572127, 0.172388, 0.870958,                     -0.043347, 0.201075, 0.512375, 0.286550
0.569464, 0.172170, 0.872828,                     -0.044998, 0.210482, 0.504905, 0.284612
0.566825, 0.171708, 0.874680,                     -0.046388, 0.219835, 0.497910, 0.282254
0.564210, 0.171108, 0.876776,                     -0.047884, 0.229038, 0.491321, 0.279641
0.561620, 0.170323, 0.878996,                     -0.049319, 0.237482, 0.485195, 0.277324
0.559053, 0.169287, 0.881182,                     -0.050469, 0.245779, 0.479562, 0.274659
0.556509, 0.168105, 0.883589,                     -0.051694, 0.253961, 0.474349, 0.271690
0.553989, 0.166744, 0.886128,                     -0.052872, 0.261335, 0.469597, 0.269068
0.551491, 0.165131, 0.888616,                     -0.053747, 0.268474, 0.465344, 0.266182
0.549016, 0.163367, 0.891294,                     -0.054661, 0.275540, 0.461516, 0.262943
0.546562, 0.161434, 0.894113,                     -0.055546, 0.281778, 0.458141, 0.260081
0.544131, 0.159254, 0.896862,                     -0.056116, 0.287689, 0.455262, 0.257049
0.541721, 0.156921, 0.899769,                     -0.056690, 0.293571, 0.452811, 0.253618
0.539333, 0.154433, 0.902819,                     -0.057252, 0.298623, 0.450803, 0.250574
0.536965, 0.151710, 0.905784,                     -0.057495, 0.303256, 0.449286, 0.247457
0.534618, 0.148836, 0.908874,                     -0.057711, 0.307892, 0.448200, 0.243908
0.532292, 0.145826, 0.912102,                     -0.057928, 0.311714, 0.447550, 0.240737
0.529985, 0.142598, 0.915230,                     -0.057828, 0.315017, 0.447389, 0.237594
0.527699, 0.139228, 0.918443,                     -0.057671, 0.318340, 0.447664, 0.233996
0.525432, 0.135744, 0.921791,                     -0.057535, 0.320874, 0.448372, 0.230754
0.523185, 0.132067, 0.925020,                     -0.057087, 0.322788, 0.449570, 0.227642
0.520956, 0.128264, 0.928294,                     -0.056557, 0.324720, 0.451216, 0.224065
0.518747, 0.124373, 0.931691,                     -0.056064, 0.325894, 0.453294, 0.220812
0.516556, 0.120320, 0.934958,                     -0.055278, 0.326347, 0.455866, 0.217787
0.514384, 0.116164, 0.938228,                     -0.054391, 0.326790, 0.458900, 0.214310
0.512230, 0.111950, 0.941603,                     -0.053553, 0.326515, 0.462373, 0.211112
0.510094, 0.107614, 0.944836,                     -0.052451, 0.325414, 0.466346, 0.208240
0.507975, 0.103202, 0.948026,                     -0.051228, 0.324258, 0.470794, 0.204948
0.505875, 0.098769, 0.951308,                     -0.050077, 0.322421, 0.475691, 0.201888
0.503791, 0.094258, 0.954432,                     -0.048690, 0.319666, 0.481092, 0.199242
0.501725, 0.089705, 0.957469,                     -0.047173, 0.316787, 0.486983, 0.196230
0.499675, 0.085171, 0.960577,                     -0.045748, 0.313270, 0.493326, 0.193405
0.497642, 0.080607, 0.963515,                     -0.044122, 0.308752, 0.500171, 0.191077
0.495626, 0.076042, 0.966327,                     -0.042369, 0.304031, 0.507512, 0.188457
0.493626, 0.071540, 0.969183,                     -0.040723, 0.298716, 0.515300, 0.185984
0.491642, 0.067059, 0.971865,                     -0.038924, 0.292343, 0.523577, 0.184080
0.489673, 0.062623, 0.974373,                     -0.036995, 0.285684, 0.532338, 0.181978
0.487721, 0.058293, 0.976906,                     -0.035198, 0.278488, 0.541522, 0.179990
0.485784, 0.054038, 0.979257,                     -0.033295, 0.270213, 0.551155, 0.178631
0.483862, 0.049874, 0.981402,                     -0.031276, 0.261582, 0.561229, 0.177188
0.481956, 0.045863, 0.983543,                     -0.029406, 0.252492, 0.571670, 0.175837
0.480064, 0.041978, 0.985501,                     -0.027479, 0.242360, 0.582482, 0.175158
0.478187, 0.038233, 0.987217,                     -0.025450, 0.231839, 0.593647, 0.174514
0.476325, 0.034683, 0.988909,                     -0.023592, 0.220974, 0.605075, 0.173951
0.474478, 0.031309, 0.990421,                     -0.021731, 0.209181, 0.616739, 0.174080
0.472644, 0.028122, 0.991662,                     -0.019784, 0.197032, 0.628612, 0.174356
0.470825, 0.025169, 0.992857,                     -0.018026, 0.184711, 0.640576, 0.174713
0.469020, 0.022436, 0.993882,                     -0.016318, 0.171677, 0.652574, 0.175749
0.467228, 0.019932, 0.994616,                     -0.014547, 0.158411, 0.664561, 0.177028
0.465450, 0.017696, 0.995283,                     -0.012979, 0.145216, 0.676404, 0.178380
0.463686, 0.015717, 0.995790,                     -0.011507, 0.131636, 0.688006, 0.180357
0.461935, 0.014000, 0.995996,                     -0.009996, 0.118061, 0.699311, 0.182628
0.460197, 0.012581, 0.996119,                     -0.008700, 0.104876, 0.710170, 0.184954
0.458472, 0.011444, 0.996100,                     -0.007544, 0.091733, 0.720467, 0.187800
0.456760, 0.010597, 0.995776,                     -0.006373, 0.078934, 0.730136, 0.190930
0.455060, 0.010065, 0.995361,                     -0.005426, 0.066895, 0.739036, 0.194069
0.453374, 0.009832, 0.994820,                     -0.004652, 0.055379, 0.747043, 0.197578
0.451700, 0.009905, 0.993979,                     -0.003884, 0.044608, 0.754105, 0.201287
0.450038, 0.010303, 0.993038,                     -0.003341, 0.034962, 0.760110, 0.204928
0.448388, 0.011004, 0.991999,                     -0.003002, 0.026293, 0.764952, 0.208755
0.446750, 0.012016, 0.990672,                     -0.002688, 0.018752, 0.768615, 0.212633
0.445124, 0.013352, 0.989241,                     -0.002592, 0.012616, 0.771041, 0.216343
0.443511, 0.014984, 0.987741,                     -0.002725, 0.007789, 0.772166, 0.220045
0.441908, 0.016921, 0.985973,                     -0.002894, 0.004363, 0.772022, 0.223614
0.440317, 0.019172, 0.984099,                     -0.003271, 0.002471, 0.770618, 0.226911
0.438738, 0.021701, 0.982186,                     -0.003887, 0.002019, 0.767942, 0.230039
0.437170, 0.024518, 0.980033,                     -0.004551, 0.003074, 0.764077, 0.232849
0.435613, 0.027629, 0.977776,                     -0.005405, 0.005606, 0.759096, 0.235298
0.434067, 0.030990, 0.975510,                     -0.006500, 0.009488, 0.753032, 0.237480
0.432532, 0.034612, 0.973037,                     -0.007649, 0.014801, 0.746002, 0.239198
0.431008, 0.038499, 0.970466,                     -0.008965, 0.021379, 0.738122, 0.240500
0.429495, 0.042602, 0.967918,                     -0.010521, 0.029034, 0.729456, 0.241510
0.427992, 0.046928, 0.965194,                     -0.012123, 0.037903, 0.720128, 0.241969
0.426500, 0.051486, 0.962381,                     -0.013867, 0.047736, 0.710275, 0.241989
0.425018, 0.056218, 0.959622,                     -0.015840, 0.058268, 0.699965, 0.241767
0.423546, 0.061129, 0.956727,                     -0.017855, 0.069721, 0.689311, 0.240967
0.422085, 0.066231, 0.953749,                     -0.019980, 0.081822, 0.678449, 0.239729
0.420633, 0.071462, 0.950854,                     -0.022315, 0.094219, 0.667437, 0.238344
0.419192, 0.076822, 0.947857,                     -0.024679, 0.107231, 0.656359, 0.236410
0.417760, 0.082331, 0.944792,                     -0.027123, 0.120616, 0.645336, 0.234048
0.416338, 0.087919, 0.941834,                     -0.029753, 0.133931, 0.634406, 0.231663
0.414926, 0.093585, 0.938813,                     -0.032398, 0.147580, 0.623627, 0.228793
0.413523, 0.099354, 0.935734,                     -0.035088, 0.161397, 0.613096, 0.225506
0.412130, 0.105152, 0.932784,                     -0.037936, 0.174847, 0.602838, 0.222315
0.410746, 0.110974, 0.929809,                     -0.040784, 0.188391, 0.592881, 0.218728
0.409371, 0.116853, 0.926786,                     -0.043639, 0.201973, 0.583296, 0.214731
0.408005, 0.122713, 0.923908,                     -0.046621, 0.214965, 0.574099, 0.210936
0.406649, 0.128542, 0.921043,                     -0.049585, 0.227853, 0.565295, 0.206852
0.405302, 0.134383, 0.918140,                     -0.052523, 0.240712, 0.556937, 0.202351
0.403963, 0.140159, 0.915395,                     -0.055554, 0.252831, 0.549036, 0.198133
0.402633, 0.145851, 0.912701,                     -0.058552, 0.264681, 0.541576, 0.193743
0.401312, 0.151509, 0.909977,                     -0.061486, 0.276478, 0.534600, 0.188922
0.400000, 0.157061, 0.907421,                     -0.064482, 0.287443, 0.528114, 0.184443
